time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-15 00:00:00+00:00,0,0,2,2
2021-12-16 00:00:00+00:00,0,0,19,3
2021-12-17 00:00:00+00:00,1,1,1,1
2021-12-20 00:00:00+00:00,1,1,13,2
2021-12-21 00:00:00+00:00,0,0,6,5
2021-12-23 00:00:00+00:00,1,1,0,0
2021-12-24 00:00:00+00:00,1,1,0,0
2021-12-26 00:00:00+00:00,0,0,1,1
2021-12-27 00:00:00+00:00,0,0,3,3
2021-12-28 00:00:00+00:00,0,0,1,1
2021-12-30 00:00:00+00:00,4,1,2,2
2021-12-31 00:00:00+00:00,0,0,20,2
2022-01-03 00:00:00+00:00,0,0,1,1
2022-01-04 00:00:00+00:00,0,0,4,2
2022-01-05 00:00:00+00:00,4,1,4,4
2022-01-07 00:00:00+00:00,1,1,1,1
2022-01-08 00:00:00+00:00,2,1,49,4
2022-01-09 00:00:00+00:00,0,0,5,1
2022-01-10 00:00:00+00:00,1,1,3,3
2022-01-11 00:00:00+00:00,0,0,3,2
2022-01-12 00:00:00+00:00,0,0,11,3
2022-01-13 00:00:00+00:00,0,0,5,4
2022-01-14 00:00:00+00:00,1,1,3,3
2022-01-15 00:00:00+00:00,0,0,1,1
2022-01-17 00:00:00+00:00,0,0,1,1
2022-01-18 00:00:00+00:00,0,0,3,3
2022-01-19 00:00:00+00:00,1,1,0,0
2022-01-20 00:00:00+00:00,0,0,2,2
2022-01-21 00:00:00+00:00,0,0,1,1
2022-01-22 00:00:00+00:00,0,0,22,5
2022-01-23 00:00:00+00:00,0,0,3,1
2022-01-24 00:00:00+00:00,0,0,3,3
2022-01-25 00:00:00+00:00,0,0,1,1
2022-01-26 00:00:00+00:00,1,1,5,4
2022-01-27 00:00:00+00:00,3,2,5,1
2022-01-28 00:00:00+00:00,0,0,25,5
2022-01-29 00:00:00+00:00,0,0,2,1
2022-01-30 00:00:00+00:00,0,0,1,1
2022-01-31 00:00:00+00:00,0,0,12,8
2022-02-01 00:00:00+00:00,0,0,32,3
2022-02-02 00:00:00+00:00,0,0,10,5
2022-02-03 00:00:00+00:00,0,0,52,6
2022-02-04 00:00:00+00:00,0,0,3,2
2022-02-05 00:00:00+00:00,0,0,1,1
2022-02-06 00:00:00+00:00,0,0,1,1
2022-02-08 00:00:00+00:00,0,0,3,1
2022-02-09 00:00:00+00:00,0,0,3,2
2022-02-10 00:00:00+00:00,1,1,2,2
2022-02-11 00:00:00+00:00,2,2,2,2
2022-02-12 00:00:00+00:00,2,2,1,1
2022-02-13 00:00:00+00:00,0,0,2,2
2022-02-14 00:00:00+00:00,0,0,2,2
2022-02-15 00:00:00+00:00,0,0,1,1
